ano,mes,oni,fase
1950,1,-1.53,LN
1950,2,-1.34,LN
1950,3,-1.16,LN
1950,4,-1.18,LN
1950,5,-1.07,LN
1950,6,-0.85,LN
1950,7,-0.54,LN
1950,8,-0.42,N
1950,9,-0.39,N
1950,10,-0.44,N
1950,11,-0.6,LN
1950,12,-0.8,LN
1951,1,-0.82,LN
1951,2,-0.54,LN
1951,3,-0.17,N
1951,4,0.18,N
1951,5,0.36,N
1951,6,0.58,EN
1951,7,0.7,EN
1951,8,0.89,EN
1951,9,0.99,EN
1951,10,1.15,EN
1951,11,1.04,EN
1951,12,0.81,EN
1952,1,0.53,EN
1952,2,0.37,N
1952,3,0.34,N
1952,4,0.29,N
1952,5,0.2,N
1952,6,0,N
1952,7,-0.08,N
1952,8,0,N
1952,9,0.15,N
1952,10,0.1,N
1952,11,0.04,N
1952,12,0.15,N
1953,1,0.4,N
1953,2,0.6,EN
1953,3,0.63,EN
1953,4,0.66,EN
1953,5,0.75,EN
1953,6,0.77,EN
1953,7,0.75,EN
1953,8,0.73,EN
1953,9,0.78,EN
1953,10,0.84,EN
1953,11,0.84,EN
1953,12,0.81,EN
1954,1,0.76,EN
1954,2,0.47,N
1954,3,-0.05,N
1954,4,-0.41,N
1954,5,-0.54,LN
1954,6,-0.5,LN
1954,7,-0.64,LN
1954,8,-0.84,LN
1954,9,-0.9,LN
1954,10,-0.77,LN
1954,11,-0.73,LN
1954,12,-0.66,LN
1955,1,-0.68,LN
1955,2,-0.62,LN
1955,3,-0.69,LN
1955,4,-0.8,LN
1955,5,-0.79,LN
1955,6,-0.72,LN
1955,7,-0.68,LN
1955,8,-0.75,LN
1955,9,-1.09,LN
1955,10,-1.42,LN
1955,11,-1.67,LN
1955,12,-1.47,LN
1956,1,-1.11,LN
1956,2,-0.76,LN
1956,3,-0.63,LN
1956,4,-0.54,LN
1956,5,-0.52,LN
1956,6,-0.51,LN
1956,7,-0.57,LN
1956,8,-0.55,LN
1956,9,-0.46,N
1956,10,-0.42,N
1956,11,-0.43,N
1956,12,-0.43,N
1957,1,-0.25,N
1957,2,0.06,N
1957,3,0.41,N
1957,4,0.72,EN
1957,5,0.92,EN
1957,6,1.11,EN
1957,7,1.25,EN
1957,8,1.32,EN
1957,9,1.33,EN
1957,10,1.39,EN
1957,11,1.53,EN
1957,12,1.74,EN
1958,1,1.81,EN
1958,2,1.66,EN
1958,3,1.27,EN
1958,4,0.93,EN
1958,5,0.74,EN
1958,6,0.64,EN
1958,7,0.57,EN
1958,8,0.43,N
1958,9,0.39,N
1958,10,0.44,N
1958,11,0.5,EN
1958,12,0.61,EN
1959,1,0.61,EN
1959,2,0.62,EN
1959,3,0.52,EN
1959,4,0.33,N
1959,5,0.2,N
1959,6,-0.07,N
1959,7,-0.18,N
1959,8,-0.28,N
1959,9,-0.09,N
1959,10,-0.03,N
1959,11,0.05,N
1959,12,-0.04,N
1960,1,-0.1,N
1960,2,-0.1,N
1960,3,-0.07,N
1960,4,0.03,N
1960,5,0.02,N
1960,6,0.03,N
1960,7,0.13,N
1960,8,0.24,N
1960,9,0.27,N
1960,10,0.2,N
1960,11,0.12,N
1960,12,0.05,N
1961,1,0.04,N
1961,2,0.03,N
1961,3,0.04,N
1961,4,0.09,N
1961,5,0.23,N
1961,6,0.27,N
1961,7,0.14,N
1961,8,-0.13,N
1961,9,-0.3,N
1961,10,-0.26,N
1961,11,-0.19,N
1961,12,-0.16,N
1962,1,-0.24,N
1962,2,-0.22,N
1962,3,-0.2,N
1962,4,-0.26,N
1962,5,-0.28,N
1962,6,-0.2,N
1962,7,-0.04,N
1962,8,-0.07,N
1962,9,-0.11,N
1962,10,-0.22,N
1962,11,-0.31,N
1962,12,-0.43,N
1963,1,-0.4,N
1963,2,-0.15,N
1963,3,0.15,N
1963,4,0.27,N
1963,5,0.31,N
1963,6,0.52,EN
1963,7,0.86,EN
1963,8,1.14,EN
1963,9,1.22,EN
1963,10,1.29,EN
1963,11,1.37,EN
1963,12,1.31,EN
1964,1,1.07,EN
1964,2,0.62,EN
1964,3,0.12,N
1964,4,-0.33,N
1964,5,-0.58,LN
1964,6,-0.58,LN
1964,7,-0.6,LN
1964,8,-0.66,LN
1964,9,-0.76,LN
1964,10,-0.8,LN
1964,11,-0.82,LN
1964,12,-0.78,LN
1965,1,-0.59,LN
1965,2,-0.28,N
1965,3,-0.07,N
1965,4,0.18,N
1965,5,0.46,N
1965,6,0.83,EN
1965,7,1.22,EN
1965,8,1.54,EN
1965,9,1.85,EN
1965,10,1.98,EN
1965,11,1.97,EN
1965,12,1.72,EN
1966,1,1.37,EN
1966,2,1.17,EN
1966,3,0.98,EN
1966,4,0.66,EN
1966,5,0.35,N
1966,6,0.24,N
1966,7,0.24,N
1966,8,0.12,N
1966,9,-0.05,N
1966,10,-0.1,N
1966,11,-0.18,N
1966,12,-0.3,N
1967,1,-0.41,N
1967,2,-0.48,N
1967,3,-0.53,LN
1967,4,-0.45,N
1967,5,-0.24,N
1967,6,0,N
1967,7,0.05,N
1967,8,-0.16,N
1967,9,-0.3,N
1967,10,-0.38,N
1967,11,-0.34,N
1967,12,-0.44,N
1968,1,-0.64,LN
1968,2,-0.74,LN
1968,3,-0.62,LN
1968,4,-0.44,N
1968,5,-0.04,N
1968,6,0.28,N
1968,7,0.58,EN
1968,8,0.53,EN
1968,9,0.45,N
1968,10,0.55,EN
1968,11,0.73,EN
1968,12,0.98,EN
1969,1,1.13,EN
1969,2,1.09,EN
1969,3,0.95,EN
1969,4,0.77,EN
1969,5,0.61,EN
1969,6,0.43,N
1969,7,0.36,N
1969,8,0.51,EN
1969,9,0.79,EN
1969,10,0.86,EN
1969,11,0.81,EN
1969,12,0.63,EN
1970,1,0.51,EN
1970,2,0.34,N
1970,3,0.29,N
1970,4,0.19,N
1970,5,0.04,N
1970,6,-0.3,N
1970,7,-0.63,LN
1970,8,-0.76,LN
1970,9,-0.77,LN
1970,10,-0.74,LN
1970,11,-0.86,LN
1970,12,-1.15,LN
1971,1,-1.36,LN
1971,2,-1.38,LN
1971,3,-1.12,LN
1971,4,-0.85,LN
1971,5,-0.73,LN
1971,6,-0.74,LN
1971,7,-0.8,LN
1971,8,-0.77,LN
1971,9,-0.82,LN
1971,10,-0.85,LN
1971,11,-0.96,LN
1971,12,-0.9,LN
1972,1,-0.71,LN
1972,2,-0.35,N
1972,3,0.06,N
1972,4,0.41,N
1972,5,0.67,EN
1972,6,0.92,EN
1972,7,1.13,EN
1972,8,1.37,EN
1972,9,1.58,EN
1972,10,1.84,EN
1972,11,2.09,EN
1972,12,2.12,EN
1973,1,1.84,EN
1973,2,1.25,EN
1973,3,0.54,EN
1973,4,-0.1,N
1973,5,-0.54,LN
1973,6,-0.87,LN
1973,7,-1.11,LN
1973,8,-1.28,LN
1973,9,-1.45,LN
1973,10,-1.71,LN
1973,11,-1.95,LN
1973,12,-2.03,LN
1974,1,-1.84,LN
1974,2,-1.55,LN
1974,3,-1.23,LN
1974,4,-1.03,LN
1974,5,-0.91,LN
1974,6,-0.77,LN
1974,7,-0.53,LN
1974,8,-0.37,N
1974,9,-0.41,N
1974,10,-0.61,LN
1974,11,-0.75,LN
1974,12,-0.64,LN
1975,1,-0.54,LN
1975,2,-0.57,LN
1975,3,-0.65,LN
1975,4,-0.73,LN
1975,5,-0.83,LN
1975,6,-0.98,LN
1975,7,-1.13,LN
1975,8,-1.2,LN
1975,9,-1.37,LN
1975,10,-1.43,LN
1975,11,-1.55,LN
1975,12,-1.65,LN
1976,1,-1.56,LN
1976,2,-1.17,LN
1976,3,-0.73,LN
1976,4,-0.47,N
1976,5,-0.28,N
1976,6,-0.05,N
1976,7,0.18,N
1976,8,0.35,N
1976,9,0.62,EN
1976,10,0.81,EN
1976,11,0.86,EN
1976,12,0.85,EN
1977,1,0.71,EN
1977,2,0.64,EN
1977,3,0.34,N
1977,4,0.23,N
1977,5,0.21,N
1977,6,0.34,N
1977,7,0.35,N
1977,8,0.42,N
1977,9,0.57,EN
1977,10,0.73,EN
1977,11,0.81,EN
1977,12,0.79,EN
1978,1,0.69,EN
1978,2,0.42,N
1978,3,0.06,N
1978,4,-0.18,N
1978,5,-0.31,N
1978,6,-0.29,N
1978,7,-0.36,N
1978,8,-0.42,N
1978,9,-0.42,N
1978,10,-0.29,N
1978,11,-0.08,N
1978,12,0,N
1979,1,0.03,N
1979,2,0.07,N
1979,3,0.2,N
1979,4,0.28,N
1979,5,0.23,N
1979,6,0.05,N
1979,7,0.04,N
1979,8,0.17,N
1979,9,0.33,N
1979,10,0.45,N
1979,11,0.52,EN
1979,12,0.64,EN
1980,1,0.59,EN
1980,2,0.46,N
1980,3,0.34,N
1980,4,0.38,N
1980,5,0.48,N
1980,6,0.46,N
1980,7,0.25,N
1980,8,0.03,N
1980,9,-0.07,N
1980,10,0.02,N
1980,11,0.11,N
1980,12,-0.01,N
1981,1,-0.26,N
1981,2,-0.5,LN
1981,3,-0.47,N
1981,4,-0.37,N
1981,5,-0.26,N
1981,6,-0.29,N
1981,7,-0.3,N
1981,8,-0.25,N
1981,9,-0.16,N
1981,10,-0.13,N
1981,11,-0.15,N
1981,12,-0.08,N
1982,1,-0.05,N
1982,2,0.07,N
1982,3,0.19,N
1982,4,0.47,N
1982,5,0.66,EN
1982,6,0.72,EN
1982,7,0.79,EN
1982,8,1.07,EN
1982,9,1.58,EN
1982,10,1.97,EN
1982,11,2.18,EN
1982,12,2.23,EN
1983,1,2.18,EN
1983,2,1.92,EN
1983,3,1.54,EN
1983,4,1.29,EN
1983,5,1.06,EN
1983,6,0.72,EN
1983,7,0.31,N
1983,8,-0.08,N
1983,9,-0.46,N
1983,10,-0.81,LN
1983,11,-1,LN
1983,12,-0.91,LN
1984,1,-0.6,LN
1984,2,-0.42,N
1984,3,-0.34,N
1984,4,-0.43,N
1984,5,-0.51,LN
1984,6,-0.45,N
1984,7,-0.3,N
1984,8,-0.16,N
1984,9,-0.24,N
1984,10,-0.56,LN
1984,11,-0.92,LN
1984,12,-1.14,LN
1985,1,-1.04,LN
1985,2,-0.85,LN
1985,3,-0.77,LN
1985,4,-0.78,LN
1985,5,-0.78,LN
1985,6,-0.63,LN
1985,7,-0.49,N
1985,8,-0.46,N
1985,9,-0.4,N
1985,10,-0.35,N
1985,11,-0.27,N
1985,12,-0.36,N
1986,1,-0.49,N
1986,2,-0.47,N
1986,3,-0.31,N
1986,4,-0.2,N
1986,5,-0.12,N
1986,6,-0.04,N
1986,7,0.22,N
1986,8,0.44,N
1986,9,0.71,EN
1986,10,0.94,EN
1986,11,1.14,EN
1986,12,1.22,EN
1987,1,1.23,EN
1987,2,1.19,EN
1987,3,1.06,EN
1987,4,0.95,EN
1987,5,0.97,EN
1987,6,1.22,EN
1987,7,1.51,EN
1987,8,1.7,EN
1987,9,1.65,EN
1987,10,1.48,EN
1987,11,1.25,EN
1987,12,1.11,EN
1988,1,0.81,EN
1988,2,0.54,EN
1988,3,0.14,N
1988,4,-0.31,N
1988,5,-0.88,LN
1988,6,-1.3,LN
1988,7,-1.3,LN
1988,8,-1.11,LN
1988,9,-1.19,LN
1988,10,-1.48,LN
1988,11,-1.8,LN
1988,12,-1.85,LN
1989,1,-1.69,LN
1989,2,-1.43,LN
1989,3,-1.08,LN
1989,4,-0.83,LN
1989,5,-0.58,LN
1989,6,-0.4,N
1989,7,-0.31,N
1989,8,-0.27,N
1989,9,-0.24,N
1989,10,-0.22,N
1989,11,-0.16,N
1989,12,-0.05,N
1990,1,0.14,N
1990,2,0.21,N
1990,3,0.28,N
1990,4,0.29,N
1990,5,0.29,N
1990,6,0.31,N
1990,7,0.33,N
1990,8,0.38,N
1990,9,0.39,N
1990,10,0.35,N
1990,11,0.4,N
1990,12,0.41,N
1991,1,0.41,N
1991,2,0.26,N
1991,3,0.22,N
1991,4,0.26,N
1991,5,0.45,N
1991,6,0.64,EN
1991,7,0.73,EN
1991,8,0.64,EN
1991,9,0.62,EN
1991,10,0.79,EN
1991,11,1.21,EN
1991,12,1.53,EN
1992,1,1.71,EN
1992,2,1.63,EN
1992,3,1.48,EN
1992,4,1.29,EN
1992,5,1.06,EN
1992,6,0.73,EN
1992,7,0.37,N
1992,8,0.09,N
1992,9,-0.13,N
1992,10,-0.25,N
1992,11,-0.28,N
1992,12,-0.13,N
1993,1,0.09,N
1993,2,0.3,N
1993,3,0.5,EN
1993,4,0.67,EN
1993,5,0.7,EN
1993,6,0.57,EN
1993,7,0.32,N
1993,8,0.25,N
1993,9,0.15,N
1993,10,0.1,N
1993,11,0.04,N
1993,12,0.06,N
1994,1,0.06,N
1994,2,0.07,N
1994,3,0.17,N
1994,4,0.31,N
1994,5,0.42,N
1994,6,0.41,N
1994,7,0.44,N
1994,8,0.43,N
1994,9,0.55,EN
1994,10,0.74,EN
1994,11,1.01,EN
1994,12,1.09,EN
1995,1,0.96,EN
1995,2,0.72,EN
1995,3,0.53,EN
1995,4,0.3,N
1995,5,0.14,N
1995,6,-0.03,N
1995,7,-0.24,N
1995,8,-0.54,LN
1995,9,-0.81,LN
1995,10,-0.97,LN
1995,11,-1,LN
1995,12,-0.98,LN
1996,1,-0.9,LN
1996,2,-0.75,LN
1996,3,-0.59,LN
1996,4,-0.39,N
1996,5,-0.31,N
1996,6,-0.3,N
1996,7,-0.27,N
1996,8,-0.32,N
1996,9,-0.35,N
1996,10,-0.4,N
1996,11,-0.45,N
1996,12,-0.49,N
1997,1,-0.5,LN
1997,2,-0.36,N
1997,3,-0.1,N
1997,4,0.28,N
1997,5,0.75,EN
1997,6,1.22,EN
1997,7,1.6,EN
1997,8,1.9,EN
1997,9,2.14,EN
1997,10,2.33,EN
1997,11,2.4,EN
1997,12,2.39,EN
1998,1,2.24,EN
1998,2,1.93,EN
1998,3,1.44,EN
1998,4,0.99,EN
1998,5,0.45,N
1998,6,-0.13,N
1998,7,-0.78,LN
1998,8,-1.12,LN
1998,9,-1.31,LN
1998,10,-1.35,LN
1998,11,-1.48,LN
1998,12,-1.57,LN
1999,1,-1.55,LN
1999,2,-1.3,LN
1999,3,-1.07,LN
1999,4,-0.98,LN
1999,5,-1.02,LN
1999,6,-1.04,LN
1999,7,-1.1,LN
1999,8,-1.11,LN
1999,9,-1.16,LN
1999,10,-1.26,LN
1999,11,-1.46,LN
1999,12,-1.65,LN
2000,1,-1.66,LN
2000,2,-1.41,LN
2000,3,-1.07,LN
2000,4,-0.81,LN
2000,5,-0.71,LN
2000,6,-0.64,LN
2000,7,-0.55,LN
2000,8,-0.51,LN
2000,9,-0.55,LN
2000,10,-0.63,LN
2000,11,-0.75,LN
2000,12,-0.74,LN
2001,1,-0.68,LN
2001,2,-0.52,LN
2001,3,-0.44,N
2001,4,-0.34,N
2001,5,-0.25,N
2001,6,-0.12,N
2001,7,-0.08,N
2001,8,-0.13,N
2001,9,-0.19,N
2001,10,-0.29,N
2001,11,-0.35,N
2001,12,-0.31,N
2002,1,-0.15,N
2002,2,0.03,N
2002,3,0.09,N
2002,4,0.2,N
2002,5,0.43,N
2002,6,0.65,EN
2002,7,0.79,EN
2002,8,0.86,EN
2002,9,1.01,EN
2002,10,1.21,EN
2002,11,1.31,EN
2002,12,1.14,EN
2003,1,0.92,EN
2003,2,0.63,EN
2003,3,0.38,N
2003,4,-0.04,N
2003,5,-0.26,N
2003,6,-0.16,N
2003,7,0.08,N
2003,8,0.21,N
2003,9,0.26,N
2003,10,0.29,N
2003,11,0.35,N
2003,12,0.35,N
2004,1,0.37,N
2004,2,0.31,N
2004,3,0.23,N
2004,4,0.17,N
2004,5,0.17,N
2004,6,0.28,N
2004,7,0.47,N
2004,8,0.64,EN
2004,9,0.7,EN
2004,10,0.67,EN
2004,11,0.66,EN
2004,12,0.69,EN
2005,1,0.64,EN
2005,2,0.58,EN
2005,3,0.45,N
2005,4,0.43,N
2005,5,0.29,N
2005,6,0.11,N
2005,7,-0.06,N
2005,8,-0.14,N
2005,9,-0.11,N
2005,10,-0.29,N
2005,11,-0.57,LN
2005,12,-0.84,LN
2006,1,-0.85,LN
2006,2,-0.77,LN
2006,3,-0.57,LN
2006,4,-0.37,N
2006,5,-0.14,N
2006,6,-0.03,N
2006,7,0.1,N
2006,8,0.3,N
2006,9,0.54,EN
2006,10,0.77,EN
2006,11,0.94,EN
2006,12,0.94,EN
2007,1,0.66,EN
2007,2,0.22,N
2007,3,-0.12,N
2007,4,-0.32,N
2007,5,-0.38,N
2007,6,-0.47,N
2007,7,-0.56,LN
2007,8,-0.81,LN
2007,9,-1.07,LN
2007,10,-1.34,LN
2007,11,-1.5,LN
2007,12,-1.6,LN
2008,1,-1.64,LN
2008,2,-1.52,LN
2008,3,-1.29,LN
2008,4,-1.01,LN
2008,5,-0.84,LN
2008,6,-0.61,LN
2008,7,-0.37,N
2008,8,-0.23,N
2008,9,-0.24,N
2008,10,-0.35,N
2008,11,-0.55,LN
2008,12,-0.73,LN
2009,1,-0.85,LN
2009,2,-0.79,LN
2009,3,-0.61,LN
2009,4,-0.33,N
2009,5,0.01,N
2009,6,0.28,N
2009,7,0.45,N
2009,8,0.58,EN
2009,9,0.71,EN
2009,10,1.01,EN
2009,11,1.36,EN
2009,12,1.56,EN
2010,1,1.5,EN
2010,2,1.22,EN
2010,3,0.84,EN
2010,4,0.35,N
2010,5,-0.17,N
2010,6,-0.66,LN
2010,7,-1.05,LN
2010,8,-1.35,LN
2010,9,-1.56,LN
2010,10,-1.64,LN
2010,11,-1.64,LN
2010,12,-1.54,LN
2011,1,-1.31,LN
2011,2,-1.04,LN
2011,3,-0.8,LN
2011,4,-0.62,LN
2011,5,-0.46,N
2011,6,-0.37,N
2011,7,-0.43,N
2011,8,-0.58,LN
2011,9,-0.79,LN
2011,10,-0.96,LN
2011,11,-1.02,LN
2011,12,-0.92,LN
2012,1,-0.72,LN
2012,2,-0.57,LN
2012,3,-0.46,N
2012,4,-0.36,N
2012,5,-0.17,N
2012,6,0.06,N
2012,7,0.3,N
2012,8,0.41,N
2012,9,0.41,N
2012,10,0.31,N
2012,11,0.13,N
2012,12,-0.1,N
2013,1,-0.29,N
2013,2,-0.29,N
2013,3,-0.21,N
2013,4,-0.19,N
2013,5,-0.27,N
2013,6,-0.34,N
2013,7,-0.35,N
2013,8,-0.28,N
2013,9,-0.21,N
2013,10,-0.13,N
2013,11,-0.1,N
2013,12,-0.15,N
2014,1,-0.28,N
2014,2,-0.32,N
2014,3,-0.14,N
2014,4,0.15,N
2014,5,0.31,N
2014,6,0.23,N
2014,7,0.1,N
2014,8,0.11,N
2014,9,0.28,N
2014,10,0.54,EN
2014,11,0.71,EN
2014,12,0.77,EN
2015,1,0.69,EN
2015,2,0.61,EN
2015,3,0.65,EN
2015,4,0.81,EN
2015,5,1.02,EN
2015,6,1.25,EN
2015,7,1.57,EN
2015,8,1.91,EN
2015,9,2.21,EN
2015,10,2.47,EN
2015,11,2.64,EN
2015,12,2.75,EN
2016,1,2.63,EN
2016,2,2.28,EN
2016,3,1.71,EN
2016,4,1.05,EN
2016,5,0.49,N
2016,6,0,N
2016,7,-0.31,N
2016,8,-0.5,LN
2016,9,-0.58,LN
2016,10,-0.64,LN
2016,11,-0.6,LN
2016,12,-0.45,N
2017,1,-0.19,N
2017,2,-0.02,N
2017,3,0.18,N
2017,4,0.31,N
2017,5,0.4,N
2017,6,0.39,N
2017,7,0.19,N
2017,8,-0.07,N
2017,9,-0.34,N
2017,10,-0.6,LN
2017,11,-0.77,LN
2017,12,-0.86,LN
2018,1,-0.77,LN
2018,2,-0.71,LN
2018,3,-0.57,LN
2018,4,-0.39,N
2018,5,-0.13,N
2018,6,0.06,N
2018,7,0.14,N
2018,8,0.27,N
2018,9,0.53,EN
2018,10,0.81,EN
2018,11,0.97,EN
2018,12,0.92,EN
2019,1,0.89,EN
2019,2,0.86,EN
2019,3,0.84,EN
2019,4,0.77,EN
2019,5,0.64,EN
2019,6,0.52,EN
2019,7,0.33,N
2019,8,0.19,N
2019,9,0.23,N
2019,10,0.39,N
2019,11,0.58,EN
2019,12,0.66,EN
2020,1,0.64,EN
2020,2,0.63,EN
2020,3,0.53,EN
2020,4,0.3,N
2020,5,0.01,N
2020,6,-0.23,N
2020,7,-0.36,N
2020,8,-0.53,LN
2020,9,-0.85,LN
2020,10,-1.12,LN
2020,11,-1.2,LN
2020,12,-1.08,LN
2021,1,-0.91,LN
2021,2,-0.79,LN
2021,3,-0.71,LN
2021,4,-0.55,LN
2021,5,-0.39,N
2021,6,-0.3,N
2021,7,-0.35,N
2021,8,-0.45,N
2021,9,-0.63,LN
2021,10,-0.76,LN
2021,11,-0.91,LN
2021,12,-0.87,LN
2022,1,-0.82,LN
2022,2,-0.79,LN
2022,3,-0.86,LN
2022,4,-0.95,LN
2022,5,-0.9,LN
2022,6,-0.78,LN
2022,7,-0.76,LN
2022,8,-0.87,LN
2022,9,-0.97,LN
2022,10,-0.94,LN
2022,11,-0.85,LN
2022,12,-0.71,LN
2023,1,-0.54,LN
2023,2,-0.29,N
2023,3,-0.02,N
2023,4,0.27,N
2023,5,0.57,EN
2023,6,0.84,EN
2023,7,1.12,EN
2023,8,1.37,EN
2023,9,1.6,EN
2023,10,1.83,EN
2023,11,1.99,EN
2023,12,2.06,EN
2024,1,1.92,EN
2024,2,1.62,EN
2024,3,1.26,EN
2024,4,0.82,EN
2024,5,0.49,N
2024,6,0.22,N
2024,7,0.08,N
2024,8,-0.07,N
2024,9,-0.17,N
2024,10,-0.21,N
2024,11,-0.3,N
2024,12,-0.42,N
2025,1,-0.45,N
2025,2,-0.24,N
2025,3,-0.06,N
2025,4,0.02,N
2025,5,-0.02,N
2025,6,-0.04,N
2025,7,-0.14,N
2025,8,-0.28,N
2025,9,-0.4,N
2025,10,-0.51,LN
2025,11,-0.55,LN
2025,12,-0.54,LN
2026,1,-0.37,N
2026,2,-0.14,N
2026,3,0.13,N
2026,4,0.51,EN
2026,5,0.98,EN
